image_link,title,description,link,price,sale_price,facebook_product_category,condition,availability,status,brand,id,item_group_id,size,google_product_category
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766479565050_i65mcv.png?v=100gms,"Palli Dhaniya Podi - 100gms","Rustic. Rich. Ridiculously Good. Our best-reviewed podi! A rustic blend of peanuts, coriander, and jaggery that delivers mellow, nutty flavors. Smooth and balanced, it's even loved by kids when mixed with hot rice and ghee. Ingredients: Peanuts, Fried Half Gram, Coriander, Jaggery, Dry Red Chilly, Salt, Tamarind",https://telugudelicacies.com/sales/palli-dhaniya-podi,100 INR,100 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,palli-dhaniya-podi-100gms,palli-dhaniya-podi,100gms,ready-to-eat
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766479565050_i65mcv.png?v=250gms,"Palli Dhaniya Podi - 250gms","Rustic. Rich. Ridiculously Good. Our best-reviewed podi! A rustic blend of peanuts, coriander, and jaggery that delivers mellow, nutty flavors. Smooth and balanced, it's even loved by kids when mixed with hot rice and ghee. Ingredients: Peanuts, Fried Half Gram, Coriander, Jaggery, Dry Red Chilly, Salt, Tamarind",https://telugudelicacies.com/sales/palli-dhaniya-podi,175 INR,175 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,palli-dhaniya-podi-250gms,palli-dhaniya-podi,250gms,ready-to-eat
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766479565050_i65mcv.png?v=500gms,"Palli Dhaniya Podi - 500gms","Rustic. Rich. Ridiculously Good. Our best-reviewed podi! A rustic blend of peanuts, coriander, and jaggery that delivers mellow, nutty flavors. Smooth and balanced, it's even loved by kids when mixed with hot rice and ghee. Ingredients: Peanuts, Fried Half Gram, Coriander, Jaggery, Dry Red Chilly, Salt, Tamarind",https://telugudelicacies.com/sales/palli-dhaniya-podi,315 INR,315 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,palli-dhaniya-podi-500gms,palli-dhaniya-podi,500gms,ready-to-eat
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766479279053_6nkkj.png?v=100gms,"Kadapa Kaaram - 100gms","Bold flavor, rich and hearty! A signature Andhra blend that balances peanuts, garlic, and dry coconut with a fiery kick of red chili. Rich, hearty, and versatile — a true taste of Kadapa tradition. Ingredients: Peanuts, Garlic, Dry Coconut, Cumin, Dry Red Chilly, Coriander, Jaggery, Salt, Red Chilly Powder, Curry Leaf, Lemon Salt",https://telugudelicacies.com/sales/kadapa-kaaram,100 INR,100 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,kadapa-kaaram-100gms,kadapa-kaaram,100gms,ready-to-eat
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766479279053_6nkkj.png?v=250gms,"Kadapa Kaaram - 250gms","Bold flavor, rich and hearty! A signature Andhra blend that balances peanuts, garlic, and dry coconut with a fiery kick of red chili. Rich, hearty, and versatile — a true taste of Kadapa tradition. Ingredients: Peanuts, Garlic, Dry Coconut, Cumin, Dry Red Chilly, Coriander, Jaggery, Salt, Red Chilly Powder, Curry Leaf, Lemon Salt",https://telugudelicacies.com/sales/kadapa-kaaram,185 INR,185 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,kadapa-kaaram-250gms,kadapa-kaaram,250gms,ready-to-eat
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766479279053_6nkkj.png?v=500gms,"Kadapa Kaaram - 500gms","Bold flavor, rich and hearty! A signature Andhra blend that balances peanuts, garlic, and dry coconut with a fiery kick of red chili. Rich, hearty, and versatile — a true taste of Kadapa tradition. Ingredients: Peanuts, Garlic, Dry Coconut, Cumin, Dry Red Chilly, Coriander, Jaggery, Salt, Red Chilly Powder, Curry Leaf, Lemon Salt",https://telugudelicacies.com/sales/kadapa-kaaram,335 INR,335 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,kadapa-kaaram-500gms,kadapa-kaaram,500gms,ready-to-eat
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1765353864852_lrthnh.png?v=500ml,"Pure Ghee - 500ml","Traditional clarified butter made from pure cow's milk. Rich in vitamins A, D, E, and K, our ghee is perfect for cooking, tempering, and adding authentic flavor to your meals.",https://telugudelicacies.com/sales/pure-ghee,600 INR,600 INR,Food & Beverages > Food Items > Cooking & Baking Ingredients > Cooking Oils,new,in stock,active,Telugu Delicacies,pure-ghee-500ml,pure-ghee,500ml,ready-to-use
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1765353864852_lrthnh.png?v=1000ml,"Pure Ghee - 1000ml","Traditional clarified butter made from pure cow's milk. Rich in vitamins A, D, E, and K, our ghee is perfect for cooking, tempering, and adding authentic flavor to your meals.",https://telugudelicacies.com/sales/pure-ghee,1200 INR,1200 INR,Food & Beverages > Food Items > Cooking & Baking Ingredients > Cooking Oils,new,in stock,active,Telugu Delicacies,pure-ghee-1000ml,pure-ghee,1000ml,ready-to-use
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766489834832_95fq1.png?v=250gms,"Sambar Premix - 250gms","Authentic Sambar in a Snap. A convenient, ready-to-use blend of rice, lentils, spices, and tamarind. Just add vegetables and boil to enjoy a flavorful, authentic South Indian sambar in minutes. Ingredients: Rice, Dry Red Chilly, Coriander, Red Gram, Urad Dal, Chickpea, Tamarind, Salt, Dry Coconut, Cumin, Fenugreek, Cinnamon, Curry Leaf",https://telugudelicacies.com/sales/sambar-premix,175 INR,175 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,sambar-premix-250gms,sambar-premix,250gms,ready-to-use
https://pfffotghmcofyrvqynbl.supabase.co/storage/v1/object/public/site-assets/1766489834832_95fq1.png?v=500gms,"Sambar Premix - 500gms","Authentic Sambar in a Snap. A convenient, ready-to-use blend of rice, lentils, spices, and tamarind. Just add vegetables and boil to enjoy a flavorful, authentic South Indian sambar in minutes. Ingredients: Rice, Dry Red Chilly, Coriander, Red Gram, Urad Dal, Chickpea, Tamarind, Salt, Dry Coconut, Cumin, Fenugreek, Cinnamon, Curry Leaf",https://telugudelicacies.com/sales/sambar-premix,315 INR,315 INR,Food & Beverages > Food Items > Condiments & Sauces > Spices & Seasonings,new,in stock,active,Telugu Delicacies,sambar-premix-500gms,sambar-premix,500gms,ready-to-use
